timestamp,open,high,low,close,volume,spread
2024-12-29,2620.634,2626.345,2619.35,2624.1,1.4766,0.695
2024-12-30,2624.178,2628.18,2596.128,2606.782,127.5281,0.531
2024-12-31,2606.739,2627.573,2602.718,2624.525,104.6137,0.479
2025-01-01,2625.845,2626.325,2621.785,2623.845,1.3087,0.592
2025-01-02,2623.904,2660.54,2622.752,2658.525,143.0749,0.479
2025-01-03,2658.486,2665.388,2636.828,2640.225,125.1168,0.48
2025-01-05,2640.1,2642.518,2639.109,2641.101,1.6452,0.521
2025-01-06,2641.095,2649.53,2614.696,2634.71,146.6307,0.493
2025-01-07,2634.756,2664.346,2633.024,2649.85,135.7151,0.494
2025-01-08,2649.705,2670.024,2645.36,2662.72,145.4911,0.501
2025-01-09,2662.715,2678.574,2655.555,2670.05,118.5245,0.533
2025-01-10,2670.095,2698.107,2663.92,2690.45,180.0021,0.615
2025-01-12,2690.95,2691.272,2687.572,2691.256,1.9752,0.812
2025-01-13,2691.22,2693.49,2656.82,2668.005,177.2419,0.547
2025-01-14,2668.0,2679.912,2659.894,2675.668,138.4697,0.524
2025-01-15,2675.688,2698.34,2669.493,2695.015,142.3967,0.485
2025-01-16,2695.045,2724.833,2689.98,2714.66,157.2985,0.53
2025-01-17,2714.614,2717.493,2699.025,2703.248,121.8906,0.498
2025-01-19,2702.678,2703.28,2691.35,2696.49,2.8867,0.894
2025-01-20,2696.425,2713.88,2689.48,2710.485,88.9154,0.633
2025-01-21,2710.472,2746.185,2702.895,2744.326,116.0634,0.529
2025-01-22,2744.362,2763.43,2742.7,2755.575,106.0486,0.515
2025-01-23,2755.475,2758.92,2735.895,2754.595,148.2167,0.483
2025-01-24,2754.604,2786.045,2754.325,2770.745,128.2475,0.491
2025-01-26,2770.85,2771.25,2765.004,2767.58,2.6134,0.857
2025-01-27,2767.585,2772.7,2730.697,2741.84,112.5333,0.509
2025-01-28,2741.83,2765.12,2734.916,2762.82,89.6385,0.487
2025-01-29,2762.835,2766.245,2745.056,2760.305,131.8441,0.49
2025-01-30,2760.29,2798.515,2758.735,2796.265,129.7709,0.567
2025-01-31,2796.246,2817.16,2791.112,2799.05,137.8353,0.555
2025-02-02,2794.62,2804.9,2784.7,2793.73,5.2144,2.58
2025-02-03,2793.625,2830.938,2772.225,2813.986,149.1406,0.636
2025-02-04,2813.995,2845.57,2807.205,2841.394,135.8409,0.536
2025-02-05,2841.548,2882.47,2839.705,2869.24,99.656,0.556
2025-02-06,2869.235,2873.36,2834.21,2858.11,114.2839,0.516
2025-02-07,2858.12,2886.835,2852.48,2860.765,102.7968,0.535
2025-02-09,2859.025,2870.48,2855.225,2867.562,1.9507,0.771
2025-02-10,2867.586,2921.754,2865.836,2917.925,117.3767,0.543
2025-02-11,2917.955,2942.905,2881.885,2898.685,126.6328,0.595
2025-02-12,2898.724,2909.315,2864.144,2905.806,110.6847,0.544
2025-02-13,2905.812,2932.504,2901.502,2931.225,97.1862,0.529
2025-02-14,2931.18,2940.149,2877.04,2882.65,113.5536,0.537
2025-02-16,2882.705,2894.112,2878.598,2879.36,2.9439,1.12
2025-02-17,2879.38,2906.48,2879.38,2899.42,73.8942,0.564
2025-02-18,2899.38,2937.06,2892.095,2934.072,100.1168,0.55
2025-02-19,2934.062,2947.115,2918.63,2935.38,101.192,0.533
2025-02-20,2935.588,2954.995,2924.185,2941.615,82.0955,0.543
2025-02-21,2941.65,2949.878,2916.845,2935.704,100.6957,0.533
2025-02-23,2935.775,2940.486,2934.025,2936.955,2.0657,0.872
2025-02-24,2936.855,2956.25,2921.405,2950.055,118.1072,0.552
2025-02-25,2950.005,2952.68,2888.338,2918.66,134.5024,0.526
2025-02-26,2918.744,2930.294,2890.802,2919.245,106.5209,0.514
2025-02-27,2919.235,2919.235,2867.875,2876.06,133.3666,0.561
2025-02-28,2876.07,2885.228,2832.698,2857.6,123.6646,0.551
2025-03-02,2855.84,2877.27,2855.675,2870.972,4.8296,0.603
2025-03-03,2870.932,2895.265,2858.98,2890.94,95.1246,0.523
2025-03-04,2890.92,2927.905,2881.932,2914.4,121.4828,0.564
2025-03-05,2914.43,2929.996,2894.32,2918.458,157.4795,0.582
2025-03-06,2918.445,2926.674,2891.16,2910.372,126.3374,0.559
2025-03-07,2910.346,2930.44,2896.471,2909.9,90.357,0.554
2025-03-09,2911.75,2916.946,2909.73,2916.206,3.2155,0.605
2025-03-10,2916.221,2918.415,2880.255,2884.779,140.7186,0.563
2025-03-11,2884.77,2922.276,2880.245,2915.456,105.2204,0.524
2025-03-12,2915.476,2940.632,2906.03,2938.17,122.1067,0.54
2025-03-13,2938.155,2990.068,2932.986,2986.5,112.6513,0.528
2025-03-14,2986.48,3004.984,2978.445,2984.72,107.903,0.559
2025-03-16,2985.205,2994.245,2983.326,2990.15,3.7925,0.585
2025-03-17,2990.145,3002.948,2982.265,2999.832,94.0774,0.565
2025-03-18,2999.826,3038.351,2999.475,3031.786,105.1628,0.554
2025-03-19,3031.805,3052.042,3022.745,3050.15,95.7114,0.586
2025-03-20,3050.175,3057.57,3025.69,3046.528,111.6949,0.558
2025-03-21,3046.534,3047.568,2999.502,3023.52,96.5718,0.546
2025-03-23,3021.15,3026.35,3020.925,3024.805,1.9823,0.635
2025-03-24,3024.636,3033.395,3002.445,3009.92,105.8885,0.546
2025-03-25,3009.94,3036.104,3007.61,3021.07,91.7938,0.548
2025-03-26,3021.055,3032.115,3012.39,3021.698,89.3139,0.529
2025-03-27,3021.685,3059.759,3021.678,3055.615,92.7592,0.561
2025-03-28,3055.505,3086.955,3054.98,3085.3,97.0679,0.546
2025-03-30,3087.3,3097.94,3085.95,3089.186,3.922,0.601
2025-03-31,3089.16,3128.125,3076.85,3120.636,95.1984,0.549
2025-04-01,3120.58,3149.094,3100.915,3115.306,106.6134,0.54
2025-04-02,3115.312,3167.785,3104.788,3162.818,92.8126,0.656
2025-04-03,3162.805,3164.864,3054.118,3112.945,121.8041,0.587
2025-04-04,3112.958,3137.005,3015.744,3038.425,127.1605,0.628
2025-04-06,3007.508,3033.44,2977.218,2999.966,13.0103,1.649
2025-04-07,2999.982,3055.6,2956.575,2981.38,155.8904,0.758
2025-04-08,2981.29,3022.82,2969.9,2978.555,103.7071,0.633
2025-04-09,2978.725,3099.795,2972.405,3086.87,141.9771,0.734
2025-04-10,3086.847,3191.365,3078.495,3189.065,119.4987,0.679
2025-04-11,3189.045,3245.4,3185.07,3237.46,113.0962,0.74
2025-04-13,3230.15,3230.175,3210.11,3223.865,6.8508,0.944
2025-04-14,3223.895,3245.91,3193.68,3212.69,82.3945,0.668
2025-04-15,3212.665,3251.99,3210.085,3251.98,57.5615,0.598
2025-04-16,3251.975,3357.82,3251.78,3350.165,98.2646,0.622
2025-04-17,3350.2,3356.48,3283.895,3327.415,76.1387,0.632
2025-04-20,3332.72,3353.55,3328.805,3348.3,6.7407,0.739
2025-04-21,3348.605,3444.535,3347.625,3435.004,84.855,0.641
2025-04-22,3435.036,3500.215,3313.095,3336.755,119.9354,0.723
2025-04-23,3336.785,3386.755,3260.125,3316.48,97.9428,0.738
2025-04-24,3316.5,3370.835,3306.655,3349.08,92.1751,0.772
2025-04-25,3349.07,3363.215,3265.16,3319.645,84.2273,0.696
2025-04-27,3324.315,3336.955,3298.62,3302.79,7.4393,0.968
2025-04-28,3302.86,3353.17,3268.2,3337.71,77.7971,0.775
2025-04-29,3337.67,3340.125,3299.66,3317.14,64.4273,0.68
2025-04-30,3317.19,3328.23,3267.065,3273.09,99.3564,0.815
2025-05-01,3273.095,3276.64,3202.0,3237.38,105.3386,0.844
2025-05-02,3237.482,3269.25,3222.8,3240.43,79.113,0.774
2025-05-04,3240.08,3252.51,3237.575,3248.11,6.872,0.907
2025-05-05,3248.14,3337.888,3241.26,3334.19,79.4172,0.763
2025-05-06,3334.09,3438.48,3322.402,3400.805,143.2517,0.825
2025-05-07,3400.915,3401.585,3360.16,3376.435,97.122,0.745
